Time,Global population
1950.0,2499322.157
1951.0,2543130.38
1952.0,2590270.899
1953.0,2640278.797
1954.0,2691979.339
1955.0,2746072.141
1956.0,2801002.631
1957.0,2857866.857
1958.0,2916108.097
1959.0,2970292.188
1960.0,3019233.434
1961.0,3068370.609
1962.0,3126686.743
1963.0,3195779.247
1964.0,3267212.338
1965.0,3337111.983
1966.0,3406417.036
1967.0,3475448.166
1968.0,3546810.808
1969.0,3620655.275
1970.0,3695390.336
1971.0,3770163.092
1972.0,3844800.885
1973.0,3920251.504
1974.0,3995517.077
1975.0,4069437.231
1976.0,4142505.882
1977.0,4215772.49
1978.0,4289657.708
1979.0,4365582.871
1980.0,4444007.706
1981.0,4524627.658
1982.0,4607984.871
1983.0,4691884.238
1984.0,4775836.074
1985.0,4861730.613
1986.0,4950063.339
1987.0,5040984.495
1988.0,5132293.974
1989.0,5223704.308
1990.0,5316175.862
1991.0,5406245.867
1992.0,5492686.093
1993.0,5577433.523
1994.0,5660727.993
1995.0,5743219.454
1996.0,5825145.298
1997.0,5906481.261
1998.0,5987312.48
1999.0,6067758.458
2000.0,6148898.975
2001.0,6230746.982
2002.0,6312407.36
2003.0,6393898.365
2004.0,6475751.478
2005.0,6558176.119
2006.0,6641416.218
2007.0,6725948.544
2008.0,6811597.272
2009.0,6898305.908
2010.0,6985603.105
2011.0,7073125.425
2012.0,7161697.921
2013.0,7250593.37
2014.0,7339013.419
2015.0,7426597.537
2016.0,7513474.238
2017.0,7599822.404
2018.0,7683789.828
2019.0,7764951.032
2020.0,7840952.88
